06.11.2023 - 17:44:02 | Initializing new game
06.11.2023 - 17:44:03 | Action: enter_room -> 1
06.11.2023 - 17:44:03 | Action: change_position -> e
06.11.2023 - 17:44:55 | Starting game
06.11.2023 - 17:44:56 | Initializing new game
06.11.2023 - 17:44:57 | Action: enter_room -> 1
06.11.2023 - 17:44:57 | Action: change_position -> e
06.11.2023 - 17:46:01 | Starting game
06.11.2023 - 17:46:02 | Initializing new game
06.11.2023 - 17:46:03 | Action: enter_room -> 1
06.11.2023 - 17:46:03 | Action: change_position -> e
06.11.2023 - 17:47:32 | Starting game
06.11.2023 - 17:47:33 | Initializing new game
06.11.2023 - 17:47:34 | Action: enter_room -> 1
06.11.2023 - 17:47:34 | Action: change_position -> e
06.11.2023 - 17:48:08 | Starting game
06.11.2023 - 17:48:09 | Initializing new game
06.11.2023 - 17:48:10 | Action: enter_room -> 1
06.11.2023 - 17:48:10 | Action: change_position -> e
06.11.2023 - 17:48:32 | Starting game
06.11.2023 - 17:48:33 | Initializing new game
06.11.2023 - 17:48:34 | Action: enter_room -> 1
06.11.2023 - 17:48:34 | Action: change_position -> e
06.11.2023 - 17:48:49 | Starting game
06.11.2023 - 17:48:51 | Initializing new game
06.11.2023 - 17:48:53 | Action: enter_room -> 1
06.11.2023 - 17:48:53 | Action: change_position -> e
06.11.2023 - 17:49:53 | Starting game
06.11.2023 - 17:49:54 | Initializing new game
06.11.2023 - 17:49:56 | Action: enter_room -> 1
06.11.2023 - 17:49:56 | Action: change_position -> e
06.11.2023 - 17:50:25 | Starting game
06.11.2023 - 17:50:26 | Initializing new game
06.11.2023 - 17:50:28 | Action: enter_room -> 1
06.11.2023 - 17:50:28 | Action: change_position -> e
06.11.2023 - 17:51:02 | Starting game
06.11.2023 - 17:51:03 | Initializing new game
06.11.2023 - 17:51:05 | Action: enter_room -> 1
06.11.2023 - 17:51:05 | Action: change_position -> e
06.11.2023 - 17:51:51 | Starting game
06.11.2023 - 17:51:52 | Initializing new game
06.11.2023 - 17:51:54 | Action: enter_room -> 1
06.11.2023 - 17:51:54 | Action: change_position -> e
06.11.2023 - 17:52:38 | Starting game
06.11.2023 - 17:52:39 | Initializing new game
06.11.2023 - 17:52:40 | Action: enter_room -> 1
06.11.2023 - 17:52:40 | Action: change_position -> e
06.11.2023 - 17:53:18 | Starting game
06.11.2023 - 17:53:19 | Initializing new game
06.11.2023 - 17:53:20 | Action: enter_room -> 1
06.11.2023 - 17:53:20 | Action: change_position -> e
06.11.2023 - 17:53:42 | Change event (1): interactable:1 -> disabled
06.11.2023 - 17:53:42 | Change event (2): sight:2 -> enabled
06.11.2023 - 17:53:42 | Change event (2): sight:1 -> disabled
06.11.2023 - 17:53:42 | Change event (2): portal:1 -> enabled
06.11.2023 - 17:53:42 | Action: activate_status -> slime
06.11.2023 - 17:53:46 | Action: activate_status -> slime
06.11.2023 - 17:54:02 | Change event (1): interactable:3 -> disabled
06.11.2023 - 17:54:02 | Change event (2): sight:5 -> enabled
06.11.2023 - 17:54:02 | Change event (2): sight:4 -> disabled
06.11.2023 - 17:54:02 | Change event (2): portal:2 -> enabled
06.11.2023 - 18:27:21 | Action: activate_status -> slime
06.11.2023 - 18:27:24 | Action: activate_status -> slime
06.11.2023 - 18:27:28 | Action: activate_status -> slime
06.11.2023 - 18:27:56 | Change event (1): interactable:2 -> disabled
06.11.2023 - 18:27:56 | Change event (1): sight:3 -> disabled
06.11.2023 - 18:28:16 | Action: activate_status -> slime
06.11.2023 - 19:02:17 | Starting game
06.11.2023 - 19:02:19 | Initializing new game
06.11.2023 - 19:02:21 | Action: enter_room -> 1
06.11.2023 - 19:02:21 | Action: change_position -> e
06.11.2023 - 19:02:28 | Change event (1): interactable:1 -> disabled
06.11.2023 - 19:02:28 | Change event (2): sight:2 -> enabled
06.11.2023 - 19:02:28 | Change event (2): sight:1 -> disabled
06.11.2023 - 19:02:28 | Change event (2): portal:1 -> enabled
06.11.2023 - 19:02:28 | Action: activate_status -> slime
06.11.2023 - 19:02:30 | Action: activate_status -> slime
06.11.2023 - 19:02:33 | Action: activate_status -> slime
06.11.2023 - 19:02:53 | Change event (1): interactable:2 -> disabled
06.11.2023 - 19:02:53 | Change event (1): sight:3 -> disabled
06.11.2023 - 19:03:08 | Action: activate_status -> slime
06.11.2023 - 19:03:50 | Change event (1): interactable:3 -> disabled
06.11.2023 - 19:03:50 | Change event (2): sight:5 -> enabled
06.11.2023 - 19:03:50 | Change event (2): sight:4 -> disabled
06.11.2023 - 19:03:50 | Change event (2): portal:2 -> enabled
06.11.2023 - 23:21:09 | Starting game
06.11.2023 - 23:21:16 | Initializing new game
06.11.2023 - 23:21:19 | Action: enter_room -> 1
06.11.2023 - 23:21:19 | Action: change_position -> e
06.11.2023 - 23:22:02 | Change event (1): interactable:1 -> disabled
06.11.2023 - 23:22:02 | Change event (2): sight:2 -> enabled
06.11.2023 - 23:22:02 | Change event (2): sight:1 -> disabled
06.11.2023 - 23:22:02 | Change event (2): portal:1 -> enabled
06.11.2023 - 23:22:02 | Action: activate_status -> slime
06.11.2023 - 23:22:14 | Change event (1): interactable:2 -> disabled
06.11.2023 - 23:22:14 | Change event (1): sight:3 -> disabled
06.11.2023 - 23:22:20 | Action: activate_status -> slime
06.11.2023 - 23:23:18 | Change event (1): interactable:3 -> disabled
06.11.2023 - 23:23:18 | Change event (2): sight:5 -> enabled
06.11.2023 - 23:23:18 | Change event (2): sight:4 -> disabled
06.11.2023 - 23:23:18 | Change event (2): portal:2 -> enabled
07.11.2023 - 09:41:02 | Starting game
07.11.2023 - 09:41:36 | Initializing new game
07.11.2023 - 09:41:39 | Action: enter_room -> 1
07.11.2023 - 09:41:39 | Action: change_position -> e
